Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
150002,大峪沟(岩)组,Dayugou Fm,Ar3(Ar2?),大峪沟组,,liaoning,,,,,,,,,,,,,,,片岩,片麻岩,石英片岩,斜长片麻岩,石英岩,磁铁石英岩,浅粒岩,黑云浅粒岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150003,阿拉善岩群,Alashan Gr,Ar3-Pt1,达布苏乌拉组、克兰尼都组、祖宗毛道组、阿拉坦乌拉组、迭布斯克组、达布尔干组、德尔和通特组、巴颜乌拉组、克莱尼都组等,,ningxia,,,,,,,,,,,,,,,辉长岩,花岗岩,碳酸岩,碎屑岩,片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,黑云角闪斜长片麻岩,变粒岩,角闪岩,斜长角闪岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150004,波罗斯坦庙组,Boluositanmiao Fm,Ar3-Pt1,,,ningxia,,,,,,,,,,,,,,,片麻岩,斜长片麻岩,黑云斜长片麻岩,角闪斜长片麻岩,石墨黑云斜长片麻岩,变粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150005,大梨沟组,Daligou Fm,Ar3-Pt1,,,shanxi,,,,,,,,,,,,,,,长石石英岩,片岩,磁铁石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150006,疙瘩村变火山岩段,Gedacun Metamorphic Volcanic Mem,Ar3-Pt1,,,shanxi,shandong,,,,,,,,,,,,,,片岩,石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150007,哈乌拉组,Hawula Fm,Ar3-Pt1,,,ningxia,,,,,,,,,,,,,,,片麻岩,斜长片麻岩,角闪斜长片麻岩,黑云角闪斜长片麻岩,大理岩,透辉石大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150008,篱笆沟变火山岩段,Libagou Metavolcanic Mem,Ar3-Pt1,,,shandong,,,,,,,,,,,,,,,片岩,石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150009,孟良窑变火山岩段,Mengliangyao Meta-volcanic Mem,Ar3-Pt1,,,shanxi,shandong,,,,,,,,,,,,,,片岩,石英岩,磁铁石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150010,鸣沙山(岩)群,Mingshashan Gr,Ar3-Pt1,,,gansu,,,,,,,,,,,,,,,片岩,片麻岩,石英片岩,斜长片麻岩,角闪斜长片麻岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150011,水银沟变火山岩段,Shuiyingou Metavolcanic Mem,Ar3-Pt1,,,shanxi,,,,,,,,,,,,,,,砂岩,粉砂岩,片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150012,水月寺(岩)群,Shuiyuesi Gr,Ar3-Pt1,,,hubei,,,,,,,,,,,,,,,角闪石岩,砂岩,杂砂岩,碳酸盐岩,铁质岩,片岩,片麻岩,石榴片岩,石墨片岩,黑云二长片麻岩,斜长片麻岩,黑云斜长片麻岩,石墨黑云斜长片麻岩,石榴黑云斜长片麻岩,石英岩,变粒岩,黑云变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,石榴斜长角闪岩,麻粒岩,大理岩,白云石大理岩,混合岩,条带状混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,
150013,宋家山群,Songjiashan Gr,Ar3-Pt1,,,shanxi,,,,,,,,,,,,,,,角闪石岩,凝灰岩,砂岩,石英砂岩,长石石英砂岩,长石石英岩,碳酸盐岩,变泥质岩,变火山岩,片岩,片麻岩,石英片岩,花岗片麻岩,磁铁石英岩,浅粒岩,变粒岩,黑云变粒岩,角闪岩,大理岩,白云石大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150014,涑水杂岩,Sushui Complex,Ar3-Pt1,横岭关群、“底部杂岩系”等,,shanxi,shaanxi,,,,,,,,,,,,,,辉绿岩,碱性花岗岩,英安岩,英安斑岩,火山角砾岩,凝灰岩,英安质凝灰岩,片岩,片麻岩,角闪黑云片岩,石英岩,浅粒岩,变粒岩,角闪岩,斜长角闪岩,麻粒岩,角闪斜长麻粒岩,二辉斜长麻粒岩,大理岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
