STRATA,CONTENT
大峪沟(岩)组,由黑云变粒岩、二云斜长片麻岩、二云夕线石英片岩、含黑云浅粒岩、二云变粒岩夹含电气浅粒岩、黑云角闪斜长片岩、斜长角闪岩及磁铁石英岩等构成。局部夹大理岩及透闪绿帘透辉变粒岩凸镜体。总厚2680-2720米。大峪沟（岩）组时代Ar3（Ar2）大峪沟（岩）组命名辽宁第一区域地质测量大队，1975年命名；辽宁省地矿局，1998年修订并介绍。大峪沟（岩）组同物异名大峪沟组。[1] 
阿拉善岩群,"1972年宁夏地质局区调队将阿拉善北部地区的前寒武系下部的中深变质杂岩命名为阿拉善群，属新太古—古元古代。阿拉善岩群基本信息地层名称: 阿拉善岩群地层名称（英文） Alxa Gr阶代码: Ar3 - Pt1地区代码: 3命名: 宁夏区测队1972年命名。阿拉善岩群沿革1975年宁夏第三地质队将阿拉善群进一步划分成4个组：达布苏乌拉组、克兰尼都组、祖宗毛道组、阿拉坦乌拉组，时代隶属古元古代。1980年《西北地区区域地层表》又将该群划归太古宙并分成8个组：迭布斯克组、波罗斯坦庙组、哈乌拉组、达布尔干组、达布苏乌拉组、德尔和通特组、 克兰尼都组、 祖宗毛道组。1986年董申保等将该群时代划归古元古代。1987年霍福臣等重新厘定的阿拉善群包括波罗斯坦庙组和哈乌拉组，时代属新太古代，下部与迭布斯克群呈断层接触，其上被古元古代阿拉坦敖包群所覆盖。《内蒙古自治区区域地质志》(1991)将阿拉善群划分为下阿拉善群(上太古界)和上阿拉善群(古元古界)。同年, 陆松年等①将阿拉善群归上太古界，自下而上分为巴彦乌拉组、布达尔干组、德尔和通特组和克来尼都组，其上被古元古代祖宗毛道组所覆盖。由于该群成层无序，其中尚夹有TTG岩系未分出，故改称岩群。阿拉善岩群特征分布在宁夏雅布赖山至包洛项乌拉一带，呈近东西向展布。据霍福臣等意见，本岩群暂分为两个组：1.波罗斯坦庙组主要由黑云斜长片麻岩、角闪斜长片麻岩、变粒岩组成，含透镜状大理岩及斜长角闪岩夹层，在本组的底部含钛铁矿结核，岩石中普遍含石墨。2.哈乌拉组以黑云角闪斜长片麻岩及各种混合岩为主，夹数层透辉大理岩。两组之间为整合接触。本群变质相为角闪岩相，属中压相系，混合岩化及花岗岩化作用强烈，有明显的混合岩化分带现象。原岩建造相当于中基性火山岩—碎屑岩、碳酸岩建造。本岩群尚无同位素年代资料，但侵入本岩群上部的辉长岩体的变质年龄据地质志记载为1982Ma(K-A法)，故本岩群成岩年龄应大于2000Ma。另外，本群又被古元古代地层不整合覆盖，暂将本岩群归于新太古代至古元古代。本岩群与下伏迭布斯克岩群为断层接触。（转载自瀛商网）"
波罗斯坦庙组,宁夏区域地层表编写组郑绍昌、潘行适、马云超、张汉镒等。特征主要为含石墨黑云斜长片麻岩、角闪斜长片麻岩、变粒岩及凸镜状大理石等。底部含钛铁矿结核。其顶部与哈拉乌拉组呈整合接触。 [1] 
大梨沟组,大梨沟组命名山西地矿局二一四队，1993年命名。大梨沟组特征宋家山群上部组级岩石地层单位。由巨厚的长石石英岩、碳质绢云片岩、厚层大理岩和基性火山岩组成，夹不稳定的磁铁石英岩。与下伏绛道沟组为整合接触；与上覆西阳河群呈不整合接触。厚712-1842米。 [1] 
疙瘩村变火山岩段,"出露于山西中条山晚太古界的一套变质岩地层。为宋家山群下部绛道沟组第二个变质基性火山岩段，由含杏仁的绿泥片岩、透闪片岩等组成。厚300米。疙瘩村变火山岩段地质年代晚太古代，绛县群，宋家山亚群。[1] 亦有认为和中条山群相当[2] 在其所属的宋家山群中测的绝对年龄分别为：2562,，2668，2736,2764（Ma）[3] 疙瘩村变火山岩段地层分区属华北大区。垣曲县同善镇附近的西阳河群中有一构造窗，习惯上称为“同善天窗”。出露于出露于垣曲县同善镇北的宋家山—绛道沟—杜家沟一带及同善镇以东的落家河一带。[2] 疙瘩村变火山岩段历史沿革1972 年，山西区测队在“ 同善天窗 ”内西部变质岩系建立宋家山组，置于绛县群上部，但将分布于洞沟以西的绢英岩、含砾绢英岩单独划出，认为属中条群界牌梁组， 宋家山组与中条群的石英岩为不整合接触。1980 年， 徐朝雷等否定了顶部石英岩与原宋家山组之间不整合面的存在，认为“ 同善天窗”内西部变质岩系大体上可与中条群篦子沟组到温峪组对比，建立了“ 宋家山群”，并将其划分为五个沉积-火山旋回，建立为五个组，分别为水银沟组、疙塔村组、绛道沟组、孟良窑组和大犁沟组。[2] 命名剖面位于山西垣曲县东约16km宋家山。现有人建议以洞沟西边的含砾石英岩、绢英岩夹较薄大理岩为大犁沟组，而其余为绛道沟组[2] 。疙塔村组被并入绛道沟组。疙瘩村变火山岩段地质特征变质基性火山岩段，由含杏仁体的绿泥片岩、透闪片岩等组成。厚300米。疙瘩村变火山岩段岩相分析浅海相与火山沉积[4] 疙瘩村变火山岩段相关矿产与落河型火山变质铜矿有关。[4] "
哈乌拉组,哈乌拉组是地质学术语，宁夏区域地层表编写组郑绍昌等于1980年命名。简介隶属于阿拉善群。以黑云角闪斜长片麻岩、混合岩为主，夹透辉石大理岩。与下伏波罗斯坦庙组呈整合接触，其上为阿拉坦敖包群平行不整合覆盖。[1] 
篱笆沟变火山岩段,篱笆沟变火山岩段是宋家山群绛道沟组内部变质基性火山岩段。由含杏仁的绿泥片岩、透闪片岩夹大理岩、石英岩所组成。与上、下地层（绛道沟组）均呈整合接触。厚280米。名称篱笆沟变火山岩段
孟良窑变火山岩段,"地层名称：孟良窑变火山岩段地层名称（英文）：Mengliangyao meta-volcanic Rocks Mem地层单位编码：05-14-0178地层地质年代：Ar3—Pt1孟良窑变火山岩段简介地层名称：孟良窑变火山岩段地层名称（英文）：Mengliangyao meta-volcanic Rocks Mem地层单位编码：05-14-0178地层地质年代：Ar3—Pt1孟良窑变火山岩段命名山西区调队(徐朝雷),1980年。孟良窑变火山岩段特征层型：正层型 垣曲水银沟—大梨沟—孟良窑宋家山群剖面。徐朝雷,1986,山西省五台系。特征：宋家山群上部大梨沟组中部的基性火山岩段。由绿泥片岩夹石英岩和不稳定的磁铁石英岩组成。与下伏地层和上覆地层皆呈整合接触。分布：山西中条山东部同善地区。孟良窑变火山岩段备考备注：同物异名："
鸣沙山(岩)群,鸣沙山（岩）群为一套经强烈改造的无序构造岩石地层，主要由角闪斜长片麻岩，黑云石英片岩，夕线石二云片岩，大理岩，斜长角闪岩等组成。鸣沙山（岩）群形成鸣沙山（岩）群为一套经强烈改造的无序构造岩石地层，主要由角闪斜长片麻岩，黑云石英片岩，夕线石二云片岩，大理岩，斜长角闪岩等组成。鸣沙山（岩）群特征该（岩）群Sm-Nd同位素年龄为2900～1800Ma。 [1] 主要由角闪斜长片麻岩，黑云石英片岩，夕线石二云片岩，大理岩，斜长角闪岩等组成。
水银沟变火山岩段,水银沟变火山岩段，宋家山群绛道沟组底部第一个变质基性火山岩段。由含杏仁构造的绿泥片岩与透闪片岩组成。水银沟变火山岩段基本信息中文名称水银沟变火山岩段水银沟变火山岩段命名山西区域地质调查大队徐朝雷，1980年命名。[1] 水银沟变火山岩段特征与下伏地层含铁质变质粉砂岩、上覆地层厚层透闪大理岩皆呈整合接触。（上覆、下伏均为绛道沟组）。厚90米。[1] 
